Word,Few_Raters,Prototypicality_Mean,Prototypicality_SD,Prototypicality_NRaters,Prototypicality_%Raters,Valence_Mean,Valence_SD,Valence_NRaters,Valence_%Raters,Valence_Source,Arousal_Mean,Arousal_SD,Arousal_NRaters,Arousal_%Raters,Arousal_Source,Happiness_Mean,Happiness_SD,Happiness_NRaters,Happiness_%Raters,Happiness_Source,Disgust_Mean,Disgust_SD,Disgust_NRaters,Disgust_%Raters,Disgust_Source,Anger_Mean,Anger_SD,Anger_NRaters,Anger_%Raters,Anger_Source,Fear_Mean,Fear_SD,Fear_NRaters,Fear_%Raters,Fear_Source,Sadness_Mean,Sadness_SD,Sadness_NRaters,Sadness_%Raters,Sadness_Source,AoA_Mean,AoA_SD,AoA_NRaters,AoA_%Raters,AoA_Source,Concreteness_Mean,Concreteness_SD,Concreteness_NRaters,Concreteness_%Raters,Concreteness_Source,Zipf_EsPal,POS,Emotionality,Family,Very_related_emotions,Pure_word,Dominant_emotion,Emotional_exclusivity
amenazado,,2.45,1.74,22,1.00,1.93,1.72,30,#NA,Hinojosa2016_BRM,7.27,2.10,30,#NA,Hinojosa2016_BRM,1.03,0.18,30,#NA,Hinojosa2016_BRM,2.43,1.50,30,#NA,Hinojosa2016_BRM,3.60,1.16,30,#NA,Hinojosa2016_BRM,4.37,1.00,30,#NA,Hinojosa2016_BRM,2.97,1.43,30,#NA,Hinojosa2016_BRM,7.66,2.83,30,#NA,Hinojosa2016_PLoS,4.53,1.63,30,#NA,Hinojosa2016_BRM,3.85,ADJECTIVE,3.07,amenaza,2,0,fear,0.355
amenazante,,2.65,1.46,20,1.00,2.55,1.05,20,1.00,Stadthagen-Gonzalez2017,7.00,1.84,20,1.00,Stadthagen-Gonzalez2017,1.15,0.49,20,1.00,Stadthagen-Gonzalez2018,2.70,1.45,20,1.00,Stadthagen-Gonzalez2018,3.70,1.30,20,1.00,Stadthagen-Gonzalez2018,3.65,1.09,20,1.00,Stadthagen-Gonzalez2018,2.95,1.10,20,1.00,Stadthagen-Gonzalez2018,8.81,1.97,21,1.00,NEW,4.48,1.47,21,1.00,NEW,3.23,ADJECTIVE,2.45,amenaza,2,0,anger,0.279
amenazar,,2.00,1.17,20,1.00,2.35,1.23,20,1.00,Stadthagen-Gonzalez2017,7.65,1.09,20,1.00,Stadthagen-Gonzalez2017,1.00,0.00,30,#NA,Hinojosa2016_BRM,2.67,1.42,30,#NA,Hinojosa2016_BRM,4.13,0.97,30,#NA,Hinojosa2016_BRM,4.10,1.03,30,#NA,Hinojosa2016_BRM,3.07,1.53,30,#NA,Hinojosa2016_BRM,8.02,2.10,50,#NA,Alonso2015,4.59,#NA,#NA,#NA,Duchon2013,3.57,VERB,2.65,amenaza,3,0,anger,0.314
amigable,,2.90,1.26,21,1.00,7.63,1.19,20,1.00,Stadthagen-Gonzalez2017,4.00,2.15,20,1.00,Stadthagen-Gonzalez2017,4.17,1.29,30,#NA,Ferré2017,1.10,0.40,30,#NA,Ferré2017,1.20,0.66,30,#NA,Ferré2017,1.23,0.57,30,#NA,Ferré2017,1.13,0.51,30,#NA,Ferré2017,7.72,1.99,50,#NA,Alonso2015,3.91,1.57,22,1.00,NEW,3.16,ADJECTIVE,2.63,amigo,1,1,happiness,0.802
amistad,,2.43,1.43,21,1.00,8.40,0.99,20,1.00,Stadthagen-Gonzalez2017,4.35,2.62,20,1.00,Stadthagen-Gonzalez2017,4.77,0.43,30,#NA,Hinojosa2016_BRM,1.03,0.18,30,#NA,Hinojosa2016_BRM,1.03,0.18,30,#NA,Hinojosa2016_BRM,1.30,0.60,30,#NA,Hinojosa2016_BRM,1.43,0.86,30,#NA,Hinojosa2016_BRM,6.12,2.52,50,#NA,Alonso2015,4.40,1.87,25,1.00,NEW,4.61,NOUN,3.40,amigo,1,1,happiness,0.820
amistoso,,2.50,1.41,22,1.00,8.10,1.12,20,1.00,Stadthagen-Gonzalez2017,3.85,2.18,20,1.00,Stadthagen-Gonzalez2017,4.27,0.74,30,#NA,Hinojosa2016_BRM,1.10,0.40,30,#NA,Hinojosa2016_BRM,1.13,0.43,30,#NA,Hinojosa2016_BRM,1.40,0.93,30,#NA,Hinojosa2016_BRM,1.07,0.37,30,#NA,Hinojosa2016_BRM,5.30,2.15,30,#NA,Hinojosa2016_PLoS,4.90,1.39,30,#NA,Hinojosa2016_BRM,3.93,ADJECTIVE,3.10,amigo,1,1,happiness,0.806
amor,,3.99,1.24,168,1.00,8.40,1.03,20,1.00,Stadthagen-Gonzalez2017,6.40,3.05,20,1.00,Stadthagen-Gonzalez2017,4.70,0.60,30,#NA,Ferré2017,1.07,0.25,30,#NA,Ferré2017,1.63,1.16,30,#NA,Ferré2017,2.60,1.50,30,#NA,Ferré2017,2.23,1.33,30,#NA,Ferré2017,5.12,2.82,50,#NA,Alonso2015,2.59,#NA,#NA,#NA,Duchon2013,5.32,NOUN,3.40,amar,1,1,happiness,0.502
amorosa,,3.36,1.56,22,1.00,8.15,1.35,20,1.00,Stadthagen-Gonzalez2017,5.20,2.44,20,1.00,Stadthagen-Gonzalez2017,4.25,0.64,20,1.00,Stadthagen-Gonzalez2018,1.30,0.57,20,1.00,Stadthagen-Gonzalez2018,1.55,1.00,20,1.00,Stadthagen-Gonzalez2018,1.20,0.52,20,1.00,Stadthagen-Gonzalez2018,1.37,0.68,20,0.95,Stadthagen-Gonzalez2018,7.00,1.73,21,1.00,NEW,3.50,1.63,22,1.00,NEW,3.87,ADJECTIVE,3.15,amar,1,1,happiness,0.653
amparado,,2.05,1.27,21,0.90,5.50,1.92,20,0.90,NEW,3.48,1.70,24,0.96,NEW,2.94,1.43,20,0.85,NEW,1.15,0.37,23,0.87,NEW,1.25,0.58,20,0.80,NEW,1.74,1.05,21,0.90,NEW,1.89,1.28,20,0.90,NEW,10.19,1.03,21,1.00,NEW,3.55,1.68,23,0.96,NEW,3.07,ADJECTIVE,0.50,amparar,0,0,happiness,0.452
amparo,,1.65,0.86,20,0.85,6.00,1.67,20,0.95,Stadthagen-Gonzalez2017,4.55,1.76,20,1.00,Stadthagen-Gonzalez2017,2.50,1.28,20,1.00,Stadthagen-Gonzalez2018,1.25,0.79,20,1.00,Stadthagen-Gonzalez2018,1.06,0.24,20,0.85,Stadthagen-Gonzalez2018,1.60,0.99,20,1.00,Stadthagen-Gonzalez2018,1.75,1.07,20,1.00,Stadthagen-Gonzalez2018,10.00,1.37,20,0.95,NEW,3.26,#NA,#NA,#NA,Duchon2013,4.29,NOUN,1.00,amparar,0,0,happiness,0.456
angustia,,4.11,1.33,20,0.95,1.95,0.89,20,1.00,Stadthagen-Gonzalez2017,7.25,1.62,20,1.00,Stadthagen-Gonzalez2017,1.00,0.00,30,#NA,Ferré2017,1.90,1.21,30,#NA,Ferré2017,2.53,1.20,30,#NA,Ferré2017,3.50,1.17,30,#NA,Ferré2017,3.57,1.04,30,#NA,Ferré2017,8.92,2.17,50,#NA,Alonso2015,3.50,#NA,#NA,#NA,Duchon2013,4.25,NOUN,3.05,angustia,2,0,sadness,0.343
