Word,Few_Raters,Prototypicality_Mean,Prototypicality_SD,Prototypicality_NRaters,Prototypicality_%Raters,Valence_Mean,Valence_SD,Valence_NRaters,Valence_%Raters,Valence_Source,Arousal_Mean,Arousal_SD,Arousal_NRaters,Arousal_%Raters,Arousal_Source,Happiness_Mean,Happiness_SD,Happiness_NRaters,Happiness_%Raters,Happiness_Source,Disgust_Mean,Disgust_SD,Disgust_NRaters,Disgust_%Raters,Disgust_Source,Anger_Mean,Anger_SD,Anger_NRaters,Anger_%Raters,Anger_Source,Fear_Mean,Fear_SD,Fear_NRaters,Fear_%Raters,Fear_Source,Sadness_Mean,Sadness_SD,Sadness_NRaters,Sadness_%Raters,Sadness_Source,AoA_Mean,AoA_SD,AoA_NRaters,AoA_%Raters,AoA_Source,Concreteness_Mean,Concreteness_SD,Concreteness_NRaters,Concreteness_%Raters,Concreteness_Source,Zipf_EsPal,POS,Emotionality,Family,Very_related_emotions,Pure_word,Dominant_emotion,Emotional_exclusivity
atontado,,2.05,1.32,21,1.00,3.30,1.26,30,#NA,Hinojosa2016_BRM,4.43,1.83,30,#NA,Hinojosa2016_BRM,1.37,0.93,30,#NA,Hinojosa2016_BRM,1.50,0.94,30,#NA,Hinojosa2016_BRM,2.13,1.14,30,#NA,Hinojosa2016_BRM,1.43,0.63,30,#NA,Hinojosa2016_BRM,2.07,1.01,30,#NA,Hinojosa2016_BRM,6.37,2.24,30,#NA,Hinojosa2016_PLoS,4.17,1.67,30,#NA,Hinojosa2016_BRM,2.77,ADJECTIVE,1.70,atontar,0,0,anger,0.217
atontamiento,,2.19,1.25,21,1.00,3.46,1.39,26,1.00,NEW,3.24,2.35,26,0.96,NEW,1.30,0.57,20,1.00,NEW,1.80,0.89,20,1.00,NEW,2.25,0.97,21,0.95,NEW,1.86,1.04,22,1.00,NEW,2.33,1.20,21,1.00,NEW,8.29,1.79,21,1.00,NEW,4.20,1.64,20,1.00,NEW,1.74,NOUN,1.54,atontar,0,0,sadness,0.227
atontar,,1.95,1.05,21,0.95,3.35,1.53,20,1.00,NEW,4.36,2.01,22,1.00,NEW,1.50,0.83,20,1.00,NEW,1.50,0.74,22,1.00,NEW,2.19,1.03,21,1.00,NEW,2.05,1.15,20,1.00,NEW,2.43,1.08,22,0.95,NEW,8.71,1.55,21,1.00,NEW,4.25,1.48,25,0.96,NEW,1.81,VERB,1.65,atontar,0,0,sadness,0.199
atormentado,,3.71,1.10,21,1.00,2.05,1.05,20,1.00,NEW,7.10,2.15,20,1.00,NEW,1.20,0.41,20,1.00,NEW,1.89,1.12,27,1.00,NEW,3.43,1.21,21,1.00,NEW,3.15,1.35,20,1.00,NEW,3.65,1.23,20,1.00,NEW,9.00,1.69,20,1.00,NEW,4.44,1.58,25,1.00,NEW,3.39,ADJECTIVE,2.95,tormento,3,0,sadness,0.295
atormentarse,,2.55,1.50,20,1.00,2.96,2.24,26,1.00,NEW,1.42,0.70,26,1.00,NEW,1.00,0.00,20,1.00,NEW,2.15,1.09,20,1.00,NEW,3.38,0.74,21,1.00,NEW,3.59,1.18,22,1.00,NEW,4.00,0.92,21,0.95,NEW,8.70,2.24,23,1.00,NEW,3.57,1.56,23,1.00,NEW,2.19,VERB,2.04,tormento,3,0,sadness,0.329
atracción,,2.95,1.56,22,1.00,7.60,1.14,20,1.00,Stadthagen-Gonzalez2017,7.00,1.62,20,1.00,Stadthagen-Gonzalez2017,3.79,0.98,29,#NA,Ferré2017,1.24,0.51,29,#NA,Ferré2017,1.17,0.54,29,#NA,Ferré2017,2.28,1.39,29,#NA,Ferré2017,1.69,1.14,29,#NA,Ferré2017,9.02,2.12,50,#NA,Alonso2015,3.04,#NA,#NA,#NA,Duchon2013,4.16,NOUN,2.60,traer,1,1,happiness,0.507
atractivo,,2.00,1.30,21,1.00,8.00,1.08,20,1.00,Stadthagen-Gonzalez2017,6.00,1.59,20,1.00,Stadthagen-Gonzalez2017,3.63,1.03,30,#NA,Hinojosa2016_BRM,1.07,0.25,30,#NA,Hinojosa2016_BRM,1.13,0.35,30,#NA,Hinojosa2016_BRM,1.30,0.75,30,#NA,Hinojosa2016_BRM,1.03,0.18,30,#NA,Hinojosa2016_BRM,7.87,1.83,30,#NA,Hinojosa2016_PLoS,3.85,1.78,30,#NA,Hinojosa2016_BRM,4.21,ADJECTIVE,3.00,traer,1,1,happiness,0.823
atraído,,2.85,1.46,20,1.00,6.85,1.31,20,1.00,NEW,6.46,1.89,24,1.00,NEW,3.63,0.96,20,0.95,NEW,1.00,0.00,23,1.00,NEW,1.16,0.37,20,0.95,NEW,1.71,0.78,21,1.00,NEW,1.10,0.31,20,1.00,NEW,8.80,1.70,20,1.00,NEW,3.92,1.67,25,0.96,NEW,3.73,ADJECTIVE,1.85,traer,1,1,happiness,0.730
atrayente,,2.68,1.20,21,0.90,6.40,1.31,20,1.00,Stadthagen-Gonzalez2017,6.21,1.87,20,0.95,Stadthagen-Gonzalez2017,3.35,1.39,20,1.00,Stadthagen-Gonzalez2018,1.15,0.49,20,1.00,Stadthagen-Gonzalez2018,1.26,0.45,20,0.95,Stadthagen-Gonzalez2018,1.32,0.58,20,0.95,Stadthagen-Gonzalez2018,1.05,0.23,20,0.95,Stadthagen-Gonzalez2018,10.05,1.12,21,1.00,NEW,4.05,1.64,20,1.00,NEW,3.21,ADJECTIVE,1.40,traer,1,1,happiness,0.735
atreverse,,2.05,1.29,22,1.00,6.90,1.07,20,1.00,Stadthagen-Gonzalez2017,6.75,1.25,20,1.00,Stadthagen-Gonzalez2017,3.60,1.23,20,1.00,Stadthagen-Gonzalez2018,1.10,0.31,20,1.00,Stadthagen-Gonzalez2018,1.50,0.76,20,1.00,Stadthagen-Gonzalez2018,2.05,1.05,20,1.00,Stadthagen-Gonzalez2018,1.05,0.22,20,1.00,Stadthagen-Gonzalez2018,6.48,1.78,21,1.00,NEW,3.16,#NA,#NA,#NA,Duchon2013,3.44,VERB,1.90,atrever,1,1,happiness,0.593
atrevido,,2.65,1.57,20,1.00,7.15,1.37,20,1.00,Stadthagen-Gonzalez2017,6.98,1.19,20,1.00,Stadthagen-Gonzalez2017,2.73,1.28,30,#NA,Ferré2017,1.13,0.73,30,#NA,Ferré2017,1.33,0.92,30,#NA,Ferré2017,1.67,1.06,30,#NA,Ferré2017,1.03,0.18,30,#NA,Ferré2017,6.92,1.94,50,#NA,Alonso2015,5.17,1.37,23,#NA,Guasch2016,3.94,ADJECTIVE,2.15,atrever,0,0,happiness,0.588
atrevimiento,,2.05,1.15,20,1.00,6.25,1.59,20,1.00,Stadthagen-Gonzalez2017,6.95,1.61,20,1.00,Stadthagen-Gonzalez2017,2.55,1.19,20,1.00,Stadthagen-Gonzalez2018,1.20,0.41,20,1.00,Stadthagen-Gonzalez2018,2.10,1.02,20,1.00,Stadthagen-Gonzalez2018,1.55,0.83,20,1.00,Stadthagen-Gonzalez2018,1.20,0.41,20,1.00,Stadthagen-Gonzalez2018,7.00,2.15,23,1.00,NEW,3.70,1.58,23,1.00,NEW,3.46,NOUN,1.25,atrever,0,0,happiness,0.375
aturdido,,3.52,1.47,21,1.00,2.57,1.14,30,#NA,Hinojosa2016_BRM,4.43,2.11,30,#NA,Hinojosa2016_BRM,1.17,0.46,30,#NA,Hinojosa2016_BRM,1.47,0.86,30,#NA,Hinojosa2016_BRM,1.80,1.06,30,#NA,Hinojosa2016_BRM,2.83,1.37,30,#NA,Hinojosa2016_BRM,2.03,1.13,30,#NA,Hinojosa2016_BRM,9.63,1.63,30,#NA,Hinojosa2016_PLoS,4.45,1.49,30,#NA,Hinojosa2016_BRM,3.49,ADJECTIVE,2.43,aturdir,0,0,fear,0.386
aturdimiento,,2.65,1.63,21,0.95,3.16,1.12,20,0.95,Stadthagen-Gonzalez2017,5.25,1.68,20,1.00,Stadthagen-Gonzalez2017,1.42,0.77,20,0.95,Stadthagen-Gonzalez2018,1.56,0.86,20,0.90,Stadthagen-Gonzalez2018,1.70,0.73,20,1.00,Stadthagen-Gonzalez2018,2.70,1.13,20,1.00,Stadthagen-Gonzalez2018,2.80,1.28,20,1.00,Stadthagen-Gonzalez2018,9.50,1.79,23,0.96,NEW,4.42,1.77,20,0.95,NEW,3.02,NOUN,1.84,aturdir,0,0,sadness,0.266
aturdirse,,2.80,1.54,21,0.95,3.53,1.07,20,0.95,NEW,6.05,1.50,22,1.00,NEW,1.20,0.41,20,1.00,NEW,1.48,0.68,22,0.95,NEW,2.10,0.94,21,1.00,NEW,2.70,1.17,20,1.00,NEW,2.80,1.15,22,0.91,NEW,9.53,1.39,20,0.95,NEW,4.25,1.70,25,0.96,NEW,2.00,VERB,1.47,aturdir,0,0,sadness,0.304
audacia,,1.69,0.87,21,0.76,6.40,1.85,20,1.00,Stadthagen-Gonzalez2017,5.42,1.26,20,0.95,Stadthagen-Gonzalez2017,2.90,1.45,20,1.00,Stadthagen-Gonzalez2018,1.32,0.82,20,0.95,Stadthagen-Gonzalez2018,1.41,0.62,20,0.85,Stadthagen-Gonzalez2018,1.35,0.61,20,0.85,Stadthagen-Gonzalez2018,1.25,0.55,20,1.00,Stadthagen-Gonzalez2018,10.24,1.29,50,#NA,Alonso2015,3.55,#NA,#NA,#NA,Duchon2013,3.72,NOUN,1.40,audaz,0,0,happiness,0.511
audaz,,1.75,1.02,21,0.95,6.60,1.31,20,1.00,Stadthagen-Gonzalez2017,5.45,1.54,20,1.00,Stadthagen-Gonzalez2017,2.70,1.42,20,1.00,Stadthagen-Gonzalez2018,1.11,0.46,20,0.95,Stadthagen-Gonzalez2018,1.21,0.63,20,0.95,Stadthagen-Gonzalez2018,1.47,1.02,20,0.95,Stadthagen-Gonzalez2018,1.15,0.49,20,1.00,Stadthagen-Gonzalez2018,9.92,1.46,50,#NA,Alonso2015,4.26,1.82,20,0.95,NEW,3.73,ADJECTIVE,1.60,audaz,0,0,happiness,0.602
autocompasión,,3.05,1.63,21,1.00,4.25,2.05,20,1.00,NEW,4.59,2.09,22,1.00,NEW,2.20,1.15,20,1.00,NEW,1.77,1.23,22,1.00,NEW,1.81,1.03,21,1.00,NEW,2.25,1.33,20,1.00,NEW,3.64,1.09,22,1.00,NEW,10.38,0.92,21,1.00,NEW,3.87,1.74,23,1.00,NEW,2.46,NOUN,0.75,compasión,1,1,sadness,0.279
autoconfiado,,2.81,1.33,21,1.00,5.38,2.30,26,1.00,NEW,6.96,1.78,26,1.00,NEW,3.60,1.23,20,1.00,NEW,1.20,0.41,20,1.00,NEW,1.55,0.76,21,0.95,NEW,1.41,0.80,22,1.00,NEW,1.33,0.91,21,1.00,NEW,10.00,1.12,20,1.00,NEW,3.62,1.80,22,0.95,NEW,#NA,ADJECTIVE,0.38,confiar,1,1,happiness,0.586
autoconfianza,,2.15,1.18,20,1.00,7.80,1.36,20,1.00,NEW,4.90,3.13,20,1.00,NEW,4.45,0.60,20,1.00,NEW,1.22,0.51,27,1.00,NEW,1.14,0.48,21,1.00,NEW,1.45,1.15,20,1.00,NEW,1.05,0.22,20,1.00,NEW,10.33,0.91,21,1.00,NEW,4.52,1.97,21,1.00,NEW,2.55,NOUN,2.80,confiar,1,1,happiness,0.788
autoestima,,1.95,1.43,22,1.00,6.80,1.94,20,1.00,Stadthagen-Gonzalez2017,6.15,2.13,20,1.00,Stadthagen-Gonzalez2017,3.70,1.22,20,1.00,Stadthagen-Gonzalez2018,1.15,0.37,20,1.00,Stadthagen-Gonzalez2018,1.35,0.93,20,1.00,Stadthagen-Gonzalez2018,1.90,1.07,20,1.00,Stadthagen-Gonzalez2018,2.45,1.28,20,1.00,Stadthagen-Gonzalez2018,9.35,1.66,20,1.00,NEW,4.29,2.17,21,1.00,NEW,3.43,NOUN,1.80,estimar,1,1,happiness,0.459
autosatisfacción,,3.00,1.41,22,1.00,7.65,1.53,20,1.00,NEW,4.90,2.92,20,1.00,NEW,4.55,0.60,20,1.00,NEW,1.37,0.84,27,1.00,NEW,1.38,0.86,21,1.00,NEW,1.20,0.52,20,1.00,NEW,1.10,0.45,20,1.00,NEW,10.09,1.78,23,1.00,NEW,3.82,2.20,22,1.00,NEW,2.32,NOUN,2.65,satisfacer,1,1,happiness,0.750
autosuficiencia,,1.48,0.75,21,1.00,7.55,1.36,20,1.00,Stadthagen-Gonzalez2017,4.95,1.85,20,1.00,Stadthagen-Gonzalez2017,3.45,1.47,20,1.00,Stadthagen-Gonzalez2018,1.10,0.45,20,1.00,Stadthagen-Gonzalez2018,1.53,0.70,20,0.95,Stadthagen-Gonzalez2018,1.20,0.41,20,1.00,Stadthagen-Gonzalez2018,1.20,0.52,20,1.00,Stadthagen-Gonzalez2018,9.90,1.34,21,1.00,NEW,4.84,1.84,25,1.00,NEW,3.03,NOUN,2.55,suficiente,1,1,happiness,0.675
autosuficiente,,1.40,0.68,20,1.00,7.65,1.31,20,1.00,Stadthagen-Gonzalez2017,4.40,2.50,20,1.00,Stadthagen-Gonzalez2017,3.65,1.18,20,1.00,Stadthagen-Gonzalez2018,1.00,0.00,20,1.00,Stadthagen-Gonzalez2018,1.15,0.37,20,1.00,Stadthagen-Gonzalez2018,1.35,1.09,20,1.00,Stadthagen-Gonzalez2018,1.15,0.37,20,1.00,Stadthagen-Gonzalez2018,9.10,1.87,21,1.00,NEW,4.92,1.55,25,1.00,NEW,3.06,ADJECTIVE,2.65,suficiente,1,1,happiness,0.803
avaricia,,2.35,1.46,20,1.00,2.15,0.88,20,1.00,Stadthagen-Gonzalez2017,6.95,1.24,20,1.00,Stadthagen-Gonzalez2017,1.13,0.43,30,#NA,Ferré2017,3.10,1.49,30,#NA,Ferré2017,3.30,1.37,30,#NA,Ferré2017,1.87,1.28,30,#NA,Ferré2017,2.77,1.28,30,#NA,Ferré2017,9.14,1.94,50,#NA,Alonso2015,4.67,#NA,#NA,#NA,Duchon2013,3.63,NOUN,2.85,avaricia,2,0,anger,0.303
avaricioso,,2.38,1.12,21,1.00,2.25,1.37,20,1.00,NEW,6.35,1.84,20,1.00,NEW,1.60,0.75,20,1.00,NEW,2.96,1.28,27,0.96,NEW,3.57,1.33,21,1.00,NEW,2.25,1.29,20,1.00,NEW,2.70,1.38,20,1.00,NEW,8.90,1.81,21,1.00,NEW,4.95,1.61,20,1.00,NEW,2.21,ADJECTIVE,2.75,avaricia,1,1,anger,0.244
avergonzado,,4.27,1.03,22,1.00,2.58,1.39,20,1.00,Stadthagen-Gonzalez2017,6.95,1.43,20,1.00,Stadthagen-Gonzalez2017,1.20,0.48,30,#NA,Ferré2017,1.60,1.04,30,#NA,Ferré2017,2.33,1.32,30,#NA,Ferré2017,3.00,1.26,30,#NA,Ferré2017,3.03,1.30,30,#NA,Ferré2017,7.22,1.95,50,#NA,Alonso2015,4.70,1.69,20,1.00,NEW,3.53,ADJECTIVE,2.42,vergüenza,2,0,sadness,0.297
avergonzar,,3.05,1.40,21,1.00,2.60,1.31,20,1.00,Stadthagen-Gonzalez2017,7.05,1.64,20,1.00,Stadthagen-Gonzalez2017,1.00,0.00,20,1.00,Stadthagen-Gonzalez2018,2.45,1.50,20,1.00,Stadthagen-Gonzalez2018,2.85,1.60,20,1.00,Stadthagen-Gonzalez2018,3.20,1.28,20,1.00,Stadthagen-Gonzalez2018,3.50,1.15,20,1.00,Stadthagen-Gonzalez2018,5.44,2.08,23,1.00,NEW,3.74,1.77,25,1.00,NEW,2.72,VERB,2.40,vergüenza,2,0,sadness,0.313
avergonzarse,,3.95,1.36,21,1.00,2.70,1.13,20,1.00,NEW,6.79,1.38,24,1.00,NEW,1.25,0.44,20,1.00,NEW,1.70,1.06,23,1.00,NEW,1.68,0.75,20,0.95,NEW,3.19,1.08,21,1.00,NEW,3.45,1.23,20,1.00,NEW,7.52,1.83,21,1.00,NEW,4.43,1.60,21,1.00,NEW,2.93,VERB,2.30,vergüenza,2,0,sadness,0.351
aversión,,3.06,1.68,21,0.81,3.05,1.36,20,1.00,Stadthagen-Gonzalez2017,6.06,0.94,20,0.90,Stadthagen-Gonzalez2017,1.15,0.37,20,1.00,Stadthagen-Gonzalez2018,2.41,1.18,20,0.85,Stadthagen-Gonzalez2018,2.85,1.18,20,1.00,Stadthagen-Gonzalez2018,2.61,1.20,20,0.90,Stadthagen-Gonzalez2018,2.67,1.57,20,0.90,Stadthagen-Gonzalez2018,10.35,1.53,23,1.00,NEW,3.90,#NA,#NA,#NA,Duchon2013,3.55,NOUN,1.95,aversión,0,0,anger,0.254
aversivo,,2.94,1.39,20,0.80,1.93,1.41,30,#NA,Hinojosa2016_BRM,6.93,2.00,30,#NA,Hinojosa2016_BRM,1.25,0.84,30,#NA,Hinojosa2016_BRM,3.71,1.38,30,#NA,Hinojosa2016_BRM,3.18,1.25,30,#NA,Hinojosa2016_BRM,3.36,1.37,30,#NA,Hinojosa2016_BRM,2.82,1.31,30,#NA,Hinojosa2016_BRM,9.94,2.16,30,#NA,Hinojosa2016_PLoS,5.07,1.51,30,#NA,Hinojosa2016_BRM,2.04,ADJECTIVE,3.07,aversión,3,0,disgust,0.264
azorado,X,3.11,1.27,21,0.43,3.90,1.45,20,0.50,NEW,5.79,2.36,22,0.64,NEW,1.40,0.55,20,0.25,NEW,1.71,0.95,20,0.35,NEW,2.30,1.06,21,0.48,NEW,3.20,1.64,20,0.25,NEW,2.83,0.98,20,0.30,NEW,10.25,2.05,21,0.57,NEW,4.00,1.87,20,0.45,NEW,2.81,ADJECTIVE,1.10,azorar,1,1,fear,0.279
azoramiento,X,3.14,1.35,21,0.33,3.40,1.43,20,0.50,NEW,5.58,2.68,22,0.55,NEW,1.25,0.71,20,0.40,NEW,1.25,0.71,20,0.40,NEW,2.25,1.28,21,0.38,NEW,3.00,1.10,20,0.30,NEW,2.33,0.82,20,0.30,NEW,10.92,0.29,21,0.57,NEW,4.00,1.12,21,0.43,NEW,2.47,NOUN,1.60,azorar,1,1,fear,0.344
azorarse,X,1.57,0.79,22,0.32,3.50,1.22,20,0.30,NEW,5.90,1.10,24,0.42,NEW,1.71,0.49,20,0.35,NEW,1.88,1.13,23,0.35,NEW,3.00,1.00,20,0.15,NEW,2.67,1.22,21,0.43,NEW,2.40,1.14,20,0.25,NEW,11.00,0.00,20,0.40,NEW,4.20,1.14,25,0.40,NEW,1.29,VERB,1.50,azorar,1,1,anger,0.193
bajón,,3.24,1.73,21,1.00,1.81,0.98,26,1.00,NEW,1.64,0.91,26,0.96,NEW,1.00,0.00,20,1.00,NEW,2.05,1.05,20,1.00,NEW,2.33,1.32,21,1.00,NEW,3.36,1.00,22,1.00,NEW,4.29,0.96,21,1.00,NEW,9.00,1.67,21,1.00,NEW,3.78,1.59,23,1.00,NEW,2.97,NOUN,3.19,bajón,2,0,sadness,0.409
benevolencia,,2.20,1.47,20,0.75,6.80,1.77,20,1.00,Stadthagen-Gonzalez2017,4.53,1.93,20,0.95,Stadthagen-Gonzalez2017,2.85,1.39,20,1.00,Stadthagen-Gonzalez2018,1.37,0.76,20,0.95,Stadthagen-Gonzalez2018,1.20,0.41,20,1.00,Stadthagen-Gonzalez2018,1.42,0.96,20,0.95,Stadthagen-Gonzalez2018,1.42,0.69,20,0.95,Stadthagen-Gonzalez2018,10.29,1.27,21,1.00,NEW,3.37,#NA,#NA,#NA,Duchon2013,3.51,NOUN,1.80,benévolo,0,0,happiness,0.506
benevolente,,2.68,1.34,21,0.90,6.78,1.26,20,0.90,NEW,3.62,1.94,22,0.95,NEW,3.25,1.13,20,0.80,NEW,1.11,0.46,22,0.86,NEW,1.29,0.72,21,1.00,NEW,1.33,0.59,20,0.90,NEW,1.78,1.17,22,0.82,NEW,10.29,1.10,21,1.00,NEW,3.77,1.63,22,1.00,NEW,2.80,ADJECTIVE,1.78,benévolo,1,1,happiness,0.572
benévolo,,2.44,1.36,20,0.80,6.25,2.02,20,0.80,NEW,3.59,2.09,24,0.92,NEW,3.06,1.16,20,0.90,NEW,1.21,0.54,23,0.83,NEW,1.05,0.23,20,0.95,NEW,1.42,0.84,21,0.90,NEW,1.37,0.68,20,0.95,NEW,9.95,1.76,20,1.00,NEW,4.78,1.68,25,0.92,NEW,3.11,ADJECTIVE,1.25,benévolo,1,1,happiness,0.644
bienestar,,3.20,1.36,20,1.00,8.55,0.69,20,1.00,Stadthagen-Gonzalez2017,2.95,2.28,20,1.00,Stadthagen-Gonzalez2017,4.66,0.55,30,#NA,Hinojosa2016_BRM,1.00,0.00,30,#NA,Hinojosa2016_BRM,1.00,0.00,30,#NA,Hinojosa2016_BRM,1.14,0.44,30,#NA,Hinojosa2016_BRM,1.00,0.00,30,#NA,Hinojosa2016_BRM,8.54,2.30,50,#NA,Alonso2015,4.03,#NA,#NA,#NA,Duchon2013,4.51,NOUN,3.55,bien+estar,1,1,happiness,0.963
bienhumorado,,3.52,1.36,21,1.00,7.20,1.28,20,1.00,NEW,4.45,2.80,20,1.00,NEW,4.35,0.88,20,1.00,NEW,1.12,0.33,27,0.96,NEW,1.15,0.49,21,0.95,NEW,1.10,0.31,20,1.00,NEW,1.05,0.22,20,1.00,NEW,9.67,1.78,21,0.86,NEW,4.30,1.77,23,1.00,NEW,#NA,ADJECTIVE,2.20,bien+humor,1,1,happiness,0.876
bochorno,,3.52,1.47,21,1.00,3.15,1.50,20,1.00,Stadthagen-Gonzalez2017,7.25,0.97,20,1.00,Stadthagen-Gonzalez2017,1.23,0.77,30,#NA,Hinojosa2016_BRM,2.40,1.22,30,#NA,Hinojosa2016_BRM,2.63,1.38,30,#NA,Hinojosa2016_BRM,2.07,1.44,30,#NA,Hinojosa2016_BRM,2.53,1.48,30,#NA,Hinojosa2016_BRM,9.20,2.07,30,#NA,Hinojosa2016_PLoS,3.63,#NA,#NA,#NA,Duchon2013,3.01,NOUN,1.85,bochorno,0,0,anger,0.239
bondad,,2.50,1.47,20,1.00,8.35,0.93,20,1.00,Stadthagen-Gonzalez2017,3.20,2.19,20,1.00,Stadthagen-Gonzalez2017,4.10,1.06,30,#NA,Ferré2017,1.20,0.61,30,#NA,Ferré2017,1.27,0.52,30,#NA,Ferré2017,1.43,0.77,30,#NA,Ferré2017,1.27,0.52,30,#NA,Ferré2017,8.18,1.99,50,#NA,Alonso2015,3.08,#NA,#NA,#NA,Duchon2013,4.22,NOUN,3.35,bueno,1,1,happiness,0.679
bondadoso,,3.00,1.34,21,1.00,7.60,1.23,20,1.00,Stadthagen-Gonzalez2017,3.70,2.05,20,1.00,Stadthagen-Gonzalez2017,4.03,0.85,30,#NA,Hinojosa2016_BRM,1.10,0.40,30,#NA,Hinojosa2016_BRM,1.10,0.31,30,#NA,Hinojosa2016_BRM,1.30,0.79,30,#NA,Hinojosa2016_BRM,1.07,0.25,30,#NA,Hinojosa2016_BRM,8.10,2.66,30,#NA,Hinojosa2016_PLoS,5.05,1.64,30,#NA,Hinojosa2016_BRM,3.46,ADJECTIVE,2.60,bueno,1,1,happiness,0.822
buena,,2.50,1.57,20,1.00,7.40,1.05,20,1.00,Stadthagen-Gonzalez2017,4.45,2.21,20,1.00,Stadthagen-Gonzalez2017,4.35,0.81,20,1.00,Stadthagen-Gonzalez2018,1.05,0.22,20,1.00,Stadthagen-Gonzalez2018,1.00,0.00,20,1.00,Stadthagen-Gonzalez2018,1.25,0.91,20,1.00,Stadthagen-Gonzalez2018,1.20,0.52,20,1.00,Stadthagen-Gonzalez2018,4.52,2.09,50,#NA,Alonso2015,3.20,2.31,20,1.00,NEW,5.30,ADJECTIVE,2.40,bueno,1,1,happiness,0.870
bueno,,2.05,1.33,22,1.00,7.60,1.26,20,1.00,Stadthagen-Gonzalez2017,3.70,2.17,20,1.00,Stadthagen-Gonzalez2017,4.03,1.03,30,#NA,Ferré2017,1.03,0.18,30,#NA,Ferré2017,1.07,0.25,30,#NA,Ferré2017,1.10,0.40,30,#NA,Ferré2017,1.13,0.43,30,#NA,Ferré2017,2.52,1.31,23,1.00,NEW,3.32,1.84,22,1.00,NEW,5.07,ADJECTIVE,2.60,bueno,1,1,happiness,0.893
burlado,,2.32,1.43,22,1.00,2.58,1.64,20,0.95,NEW,6.17,1.34,24,0.96,NEW,1.16,0.37,20,0.95,NEW,1.91,1.04,23,1.00,NEW,3.74,0.99,20,0.95,NEW,2.67,1.32,21,1.00,NEW,3.50,1.43,20,1.00,NEW,7.20,1.74,20,1.00,NEW,3.53,1.50,20,0.85,NEW,3.16,ADJECTIVE,2.42,burlar,2,0,anger,0.323
cabizbajo,,3.45,1.47,20,1.00,2.05,1.19,20,1.00,NEW,3.70,2.15,20,1.00,NEW,1.28,0.57,20,0.90,NEW,1.44,0.89,27,1.00,NEW,2.10,1.12,21,0.95,NEW,2.15,1.27,20,1.00,NEW,3.95,0.83,20,1.00,NEW,9.20,1.77,20,1.00,NEW,4.82,1.53,23,0.96,NEW,2.91,ADJECTIVE,2.95,cabeza+bajo,1,1,sadness,0.451
cabreado,,4.24,1.30,21,1.00,2.69,2.13,26,1.00,NEW,2.32,1.28,26,0.96,NEW,1.10,0.31,20,1.00,NEW,1.90,1.12,20,1.00,NEW,4.10,1.00,21,1.00,NEW,3.14,1.36,22,1.00,NEW,2.95,1.24,21,1.00,NEW,5.35,2.64,23,1.00,NEW,5.24,1.48,21,1.00,NEW,2.30,ADJECTIVE,2.31,cabrear,2,0,anger,0.366
cabrearse,,4.09,0.97,22,1.00,2.85,1.69,20,1.00,NEW,7.67,1.20,22,0.95,NEW,1.15,0.37,20,1.00,NEW,1.90,1.12,20,1.00,NEW,4.33,0.86,21,1.00,NEW,3.05,1.19,20,1.00,NEW,2.65,1.18,20,1.00,NEW,6.62,2.22,21,1.00,NEW,4.76,1.51,25,1.00,NEW,1.47,VERB,2.15,cabrear,2,0,anger,0.394
cabreo,,3.77,1.63,22,1.00,2.30,1.17,20,1.00,NEW,7.55,1.57,22,1.00,NEW,1.05,0.22,20,1.00,NEW,2.25,1.16,20,1.00,NEW,4.43,0.87,21,1.00,NEW,3.20,1.40,20,1.00,NEW,2.70,1.17,20,1.00,NEW,6.24,2.58,50,#NA,Alonso2015,5.08,1.50,25,1.00,NEW,2.32,NOUN,2.70,cabrear,2,0,anger,0.392
cachondear,,2.05,1.07,21,1.00,6.10,2.10,20,1.00,NEW,6.50,1.37,22,1.00,NEW,3.75,0.91,20,1.00,NEW,1.55,1.01,22,1.00,NEW,2.29,1.23,21,1.00,NEW,1.30,0.73,20,1.00,NEW,1.45,0.80,22,1.00,NEW,8.74,1.89,23,1.00,NEW,4.86,1.39,21,1.00,NEW,0.51,VERB,1.10,cachondo,1,1,happiness,0.459
cachondeo,,1.76,1.00,21,1.00,5.64,2.50,22,#NA,Guasch2016,7.45,1.57,20,#NA,Guasch2016,3.87,1.41,30,#NA,Ferré2017,1.47,0.97,30,#NA,Ferré2017,1.37,0.89,30,#NA,Ferré2017,1.30,0.75,30,#NA,Ferré2017,1.37,1.00,30,#NA,Ferré2017,7.57,2.11,21,1.00,NEW,4.20,#NA,#NA,#NA,Duchon2013,2.32,NOUN,0.64,cachondo,1,1,happiness,0.587
cachondez,,2.40,1.35,21,0.95,6.50,1.67,20,0.80,NEW,6.70,1.96,24,0.96,NEW,3.60,0.88,20,1.00,NEW,1.55,0.91,23,0.96,NEW,1.74,1.15,20,0.95,NEW,1.30,0.47,21,0.95,NEW,1.68,1.20,20,0.95,NEW,9.42,2.04,21,0.90,NEW,4.09,1.74,25,0.88,NEW,0.51,NOUN,1.50,cachondo,1,1,happiness,0.473
